row,source_label,narrative
5624,Mortgage,"I tried to access my account on line and the password didn't work. I tried to reset my password on line but I didn't have the account number so I called BOK. 

The agent said he needed to verify me to access my account. I gave him my full name, full social security number and the property address. He said that I was missing the suffix on the address. I told him that I didn't know of any suffix on the property address and he said he couldn't help me with out verifying me first. I asked to speak to a supervisor and he said that I couldn't talk to a supervisor without out being verified. He wouldn't assist further so I ended the call. 

I looked on both XXXXXXXX XXXX  and XXXXXXXX XXXX  to see what the suffix might be. Both map programs didn't show any suffix. 


I called back to BOK and talked to a different agent with the same result."
5625,Consumer loan,"This is complaint number 3 that I am submitting for the same issue with Chase Auto Finance. I am currently XXXX and have a 3rd party insurance company, XXXX XXXX, paying my car payment. Again, Chase states they haven't received payment for XXXX, and the check was sent on XX/XX/22. It has not been processed and they are researching where it's at. I am being told I can call back in 7-10 business days to see if they've found it. I have multiple health conditions that require my attention and time. I shouldn't have to spend another hour on the phone for something they could contact me and let me know about. Each time you call you get someone different who asks about the situation and places you on hold forever to find the right person to talk to. It is undue stress that I don't need with my medical conditions."
5626,Mortgage,"I entered a modification with Selene Finance in XX/XX/XXXX and never recieved any statements or tax documents for 2 years. 6 different times as in attached summary i tried to reach out to Selene about no statements or tax documents and informed them that I had no lawyer ( which was always their reason for not talking to me.XX/XX/XXXX,XX/XX/XXXX,XX/XX/XXXX, XX/XX/XXXX,XX/XX/XXXX,XX/XX/XXXX were dates of contact there were a few other calls not documented to.on XX/XX/XXXX and XX/XX/XXXX XXXX  told me all she had to do was send a document to law firm and wait 20 days for their responce to remove them from file so someone would talk to me as id had someone sneaking around my home taking pictures scaring my girlfriend to death saying they were from Selene finance.XXXX said the reason for that was i was 2 months behind on payments until she looked up account and no I see youve made all payments. 
Transfered to XXXX -- -- -- cant talk you have a lawyer.Informed them on XX/XX/XXXX and XX/XX/XXXX that there would be no more payments made until my questions were addressed. Letter was also sent with payment on XX/XX/XXXXand XX/XX/XXXX stating the same. On XX/XX/XXXX got message to call Selene and a letter of default and intent to accelerate. Called on XX/XX/XXXX sent to XXXX voicemail, same everyday until XX/XX/XXXX.XXXX says lawyer was removed and sent mw 2 years of tax documents and a statement.Check for februrary was mailed out same day. Seleene says they cant accept payment fill out a packet."
5627,Credit reporting,"I, XXXX XXXX, consumer in fact, opted out of sharing my personal and private nonpublic information from Equifax. I sent Equifax a "" Privacy Opt Out Notice '' on XX/XX/2022. Equifax has been fraudulently disclosing my personal and private consumer information without my consent, which includes the six accounts listed on the notice. I am requesting immediate deletion off of my consumer report."
5628,Money transfer or service,"PayPal had a delay due to a weekend outage, which then caused them to incorrectly identify their charge with my bank. My bank account then sent back that it was declined, as Non-Sufficent Funds, when the money was absolutely present in my account. It was a transaction of XXXX, which was deducted from my bank account, but they then claimed that very same charge put my PayPal balance in the negative. I added funds to get it back to even, by the took refunds I had from XXXX and refuse to do a reversal of the funding recieved."
5629,Bank account or service,"About 6 months ago wellsfargo said I was deceased and closed my account with about $ XXXX, after having the account since XXXX. After providing them all the info to show in was infact living, they opened my account but left me with no access because if a 2factor issue and they claiming the issue needed time. After about 4 days recieved notification that all my accounts were closed and in 30 days or so i would recieve what ever funding that was mine and the rest would be returned to clients. As of yesterday i checked my accounts, and all the funds are still in my accounts and they are just holding life savings, clients and my unemployment and with out anyway to recieve them. i have been XXXX  XXXX, and at this rate ill be XXXX before the money that might save me or at least keep this going becomes available. 
make matters worse i cant open a new bank because j cant get verified anywhere."
5630,Money transfer or service,"I am a XXXX XXXX veteran, and my Ally Bank account was recently compromised due to unauthorized access. As a result of this security breach, my funds have been locked for over XXXX months, and despite multiple attempts to resolve the issue, it remains unresolved. 

This situation has significantly impacted various aspects of my life, both personally and financially. As someone who depends on stable access to their finances, this ongoing issue has created undue stress and hardship. I am requesting immediate action from Ally Bank to investigate and release my funds without further delay."
5631,Credit reporting,Hi I am submitting this XXXX XXXX this isn't any influence and this is not a third party. XXXX has low and unfair credit number for me in their report. I have complained. The problem has not been resolved. my fico has me at a credit score over 719XXXX  has me at a score around 590. That is a huge difference. XXXX paints me as a XXXX. my fico say I have good credit. What the XXXX is going on here. i have almost no debt and my identity was stolen causing my score to drop n i made this clear for 60 days straight with XXXX i spoke to a representative agent name XXXX and XXXX and XXXX from the fraud department I prefer to speak to a us rept but they refused they had me on mute for 4 hours which was hurtful I have a perfect repayment record. I have very low credit utilization. I have three negative credit items outstanding debt now. I have modest but ok income. Social Security. Something is wrong with XXXX. I do not understand why they are abusing consumers .This was a fist step towards attempting resolution. They kept lying telling me they disputed n its not reporting but it keep reporting this inaccurate information without my authorization. They refused or were unable to verify n remove the inquiries and its been 60days n they record the calls n admitted they had my police report XXXX ftc and affidavit That was after attempting to contact XXXX more than 21 times. XXXX is an abusive company. They are supposed to be protecting consumers. They need to be reigned in. they are causing me severe XXXX and stopping me from getting this job offer n now im XXXX n cant provide to my XXXX year old daughter PLEASE HELP ME PLEASE im XXXX  now.with no help.
5632,Debt collection,I have been violated by GS Bank on XX/XX/2021. I am a victim of identity theft and did not give permission to anyone for assumed access to my information.I know my rights and am protected under the following laws by the United States Court of Law : 15 U.S. Code 1640 15 U.S. Code 1681n 15 U.S. Code 1691 15 U.S. Code 1692c Please have these inquiries removed from my credit report.
5633,Consumer loan,"I have a loan with GM FNANCIAL with account number XXXX. I have always made my payments on time. For some reason, I realized that there were 60 days late payments on my credit report for the month of XX/XX/2019 up to XX/XX/2019. The XXXX and XXXX Credit Bureaus are required to verify for themselves, but they failed to neither verify nor update me about these complaints."
5634,Bank account or service,"My name is XXXX, on the year of XXXX  after I graduated high school I opened my very first account with Bank of America. My account was took over by XXXX adults that I trusted. So by the time year XXXX hit my mom was receiving mail. She received the mail that my account was closed and there was suspicious transactions going on in my account the account was closed and that caused me not to be able to open another account for any bank."
5635,Credit reporting,"I submitted a letter to the XXXX Credit Bureaus to update this suspicious information. I think you have not validated these accounts in accordance with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ), and I will pursue legal action against them. This was already included in my prior complaint, and I'm including it again. 
XXXX XXXX Balance : {$740.00} XXXX XXXX  XXXX Balance : {$520.00} XXXX XXXX XXXX Balance : {$470.00} XXXX XXXX XXXXXXXX Balance : {$3100.00} XXXX XXXXXXXX Balance : {$1200.00} XXXX XXXXXXXX Balance : {$13000.00} XXXX XXXXXXXX Balance : {$630.00}"
5636,Consumer loan,"MOHELA - Cash Loan : I am a cosigner. My daughter made a payment at 22 days past the due date on XXXX/XXXX/2016 via phone. I received a call at XXXX Central time today from MOHELA attempting to collect this debt. They did acknowledge that the payment was made on XXXX XXXX and that they could "" see the payment in their system ''. However, they could not "" verify '' that the payment was made which resulted in the phone call. I asked that they log my concerns regarding this call as a complaint. Loan was for my Daughters education at XXXX XXXX University , XXXX XXXX MO."
5637,Credit card,"I have had numerous ongoing issues with PayPal Credit as well as my PayPal Credit Mastercard. 

The majority of the issues stems from billing disputes, whether found in my favor or not, I do not always get the money returned to me. I have issues as well with denied disputes and errors made during the appeal and escalation process and I have made numerous contacts over the years because this has been costing me money, in lost refunds never returned to me from PayPal. Even when I have managed to resolve issues on my own independently and get the merchant to eventually refund me, PayPal will credit the wrong account, some other account that they did not take the money from in the first place. They have also debited the incorrect account, and take more than was in the account, even though that particular account had no relationship whatsoever with the account in dispute. I will include several attachments so that you can see what has transpired. I have made my last call today and sent my last emails to escalate and remedy any and all of these issues. Even with admittedly owing me {$150.00} they still have not returned this in over three years, and that will be attached too."
5638,Consumer loan,"XX/XX/2022, a letter was sent to me from XXXX XXXX  indicating that the bank had used a so called "" credit score '' of XXXX from XXXX XXXX XXXX erroneously. XXXX XXXX XXXX, a subsidiary of XXXX, is NOT a credit reporting agency but a consumer reporting agency. Thus Ally Bank used a low score of XXXX from XXXX, XXXX XXXX XXXX XXXX of the factors leading to the denial of my loan request on XX/XX/2022. 
Ally Bank in black and white wrote, "" Information about your credit score from XXXX XXXX XXXX : We also obtained your credit score from XXXX XXXX XXXX and used it in making our credit decision ''. etc. This is wrong! An injustice and misappropriation of a consumer report that has nothing to do with a credit report that determines the credit/spending/earning power of the applicant. Once again, it is merely a "" consumer report '' with insurance information and residencies ; absolutely nothing about spending habits."
5639,Debt collection,"ARS received a request for debt validation and to cease communications by phone on XXXX XXXX 2015, I have a copy of the signed receipt of the letter. XXXX XXXX XXXX 2015 they began to attempt phone communication again and still have n't validated the debt. Per the Fair Credit Reporting Act they are not to be attempting phone contact since 1 ) the validation still had n't been given and 2 ) they received a written cease letter."
5640,Consumer loan,"I am writing because MOHELA is having significant issues in handling my XXXX XXXX XXXX XXXX. 

My Award message was sent to MOHELA XX/XX/23 - after XXXX days, the request was cancelled because that is XXXX ' policy. MOHELA did not process the request to make the payment. And now, MOHELA will not explain why they did not open or process this information. 

I called in XXXX to verify the correct address to send the XXXX information. The XXXX hotline told me that all loan service providers should have an XXXX Admin who knows how to process these kinds of unique circumstances. MOHELA has denied the existence of one and refused to give out any contact information for an individual person to contact with this. They did give me an address, which I conveyed to XXXX, and that's where it was sent. 

Now that MOHELA is being asked to say why they didn't process things in XXXX  days, they still will not provide an email to a person for XXXX to work with. A person has to submit a letter stating why it wasn't processed in order to reissue the payment. In the meantime, my Award has now expired- which means that if MOHELA does not explain why they didn't do their jobs, I will lose my entire Education Award for my XXXX XXXX XXXX XXXX XXXXXXXX. 

I have called MOHELA repeatedly, even had a three-way call with XXXX  and MOHELA, and have routinely be ghosted by being sent to a 'supervisor 's line ' and then I either have the phone ring indefinitely or I am told someone will call me back, but that has only happened once. Their processes and wait times are ridiculous and they are showing ineptitude at every turn regarding servicing loans for the Department of Education.

MOHELA also said they would conduct an investigation, stating XXXX business days to complete it. This was on XX/XX/23 and they have not completed the investigation yet nor have they said why they haven't completed it. I was just told that it 'was n't finished yet. '"
5641,Credit card,"XX/XX/2022, I previously notified you that I am a victim of identity theft, and requested that you do the following : Close the unauthorized account, Remove any charges on the unauthorized account, and Take steps to remove information about this account from my credit files. 

For the following account : Acct name : XXXX  Acct # XXXX I had enclosed a copy of my identity theft report with the written letter I sent out in XX/XX/2022 Because the information you are reporting is the result of identity theft, and inaccurate. 

I still have not received written confirmation of these actions."
5642,Debt collection,"I've never received any form of communication from this company. I pulled my credit report to make sure everything is accurate and noticed this account was on my credit report. I've never resided at the location for the account that the company is collecting for. 
This is not my account, this is not my debt."
5643,Credit reporting,"I am writing as a consumer to formally request a review and correction of certain information listed on my credit report. In accordance with my rights under the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681, I would like to dispute the following items : see attached"
5644,Money transfer or service,"I have a crypto wallet on thXXXX XXXX XXXX XXXX. I presently have XXXX XXXXXXXX XXXX XXXX stored on my XXXX XXXX XXXX XXXXXX/XX/XXXX, I manually unstacked XXXX XXXX XXXX. The tokens immediately showed as pending unstaked. About an hour later, on the same day, the XXXX tokens completely disappeared from my wallet. I have a digital receipt showing the transaction, with a date promising that the order would be fulfilled in full by XX/XX/XXXX. I began contacting XXXX  on XX/XX/XXXX, asking why my tokens had disappeared entirely. XXXX  representatives responded with a generic statement that they would look into it and get back to me ; however, they have provided no substantive response to my queries. Ive even emailed them 6 times, asking for a resolution and the reinstatement of the XXXX stake Tokens as of XX/XX/XXXX. Ive emailed them a seventh time, showing them the transaction receipt, but have received no response. Now, I am very concerned that these XXXX tokens, valued at about {$15000.00}, are completely unaccounted for, and that XXXX  is making no effort to reinstate them or explain why they disappeared from my wallet."
5645,Money transfer or service,"I endorsed an insurance claim settlement check and sent it to my mortgage holder. I completed 50 % of the repairs and this was confirmed by the mortgage holders home inspector on XX/XX/18. According to the mortgage holders ' procedures, they will then release at least {$40000.00}. I submitted all documentation requested on more than one occasion. The bank insists that I send them a signed contract with my general contractor. I have informed the bank that I have not yet hired a contractor for the kitchen repair. I have signed a contract with a window replacement company and have submitted a copy of that contract to the bank. I have and I am doing most of the work myself and only going to use a general contractor for the largest part of the job which is the kitchen construction work. I am using the "" savings '' of self repair to re-build with upgraded materials which improves the value to the property. I need my first insurance proceeds draw NOW!"
5646,Bank account or service,"After asking for information, we attempted a phone verification, which failed for some reason and only worked on my previous number from two phone numbers ago then after attempt, I proceeded to give my mothers phone number which had worked previously, but upon doing so exhausted all attempts and the bank teller proceeded to hang up in my face, not giving me reasons to why my account was locked I asked to speak to a supervisor, which also the phone on me without giving me reasons to why my account was locked"
5647,Debt collection,"i have entered a payment plan with XXXX XXXX. despite my payment plan being current i have received 2 notices of my account being sent to collcetions. the collection agency is XXXX XXXX XXXX, file # XXXX"
5648,Consumer loan,"In XXXX, I called my loan servicer, Edfinancial to request a refund for payments I made during the national emergency student loan payment pause, totaling {$1400.00}. Edfinancial would not give a timeline for processing of the refund, but said they would submit it to the Department of Education. I later noticed my loan balance had been increased by {$570.00}. I have not received any form of reimbursement, and my loan records show no indications of a pending refund. On XX/XX/2022, I called Edfinancial to inquire about the discrepancy in the adjusted balance. I was told that a request had been sent to the Department of Education for {$570.00}. Upon review, the agent at Edfinancial saw the mistake and said they would correct the refund request to reflect the correct amount as {$1400.00}. I clarified with the agent that they would not be requesting {$1400.00} and was assured that only the difference would be requested. On XX/XX/2022, my balance had once again increased, but by {$1400.00} on top of the initial {$570.00}. Calling on XX/XX/2022, Edfinancial has not been able to correct the situation. 

Edfinancial 's error is artificially inflating my debt, doing tangible harm negatively impacting my credit report. I'm additionally concerned that the {$570.00} increase does not reflect the actual refund of a loan, and Edfinancial has been unable to tell me how this increase is divided amongst my loans, which have varying interest rates."
5649,Bank account or service,"On XX/XX/2023, I received information that XXXX XXXX, a Director at Bank of America located XXXX XXXX XXXX XXXX, XXXX, NC XXXX had accepted monies in exchange for debiting the exact amount of my payroll check from my account using my debit card number. The person ( s ) she colluded with had also sent her copies of my debit card and driver 's license. To avoid this illegal debit, I contacted Bank of America customer service the same day and froze my account number XXXX to avoid any debits and informed them that I would go to the branch to open a new account. 

On XX/XX/2023 I opened a new account but was not able to transfer the funds to the new account until XX/XX/2023. As a result, my mortgage was paid late. Because XXXX is a Director with Bank of America, she has access to all of my banking information. Therefore, my efforts to protect my account are futile at best. 

On XX/XX/2023, a complaint regarding this matter was submitted to the Federal Trade Commission, report number XXXX. 

I've recently received communication that she has made a duplicate copy of a pay stub and as to what the plans are for it, I am unsure. 

As a consumer, I should be able to trust the personnel working at the bank. Please open an investigation into XXXX XXXX and her handling of funds especially in regard to my account. Thank you."
5650,Consumer loan,"I received a notice of my applying for a {$7000.00} loan from a company named Transform Credit which I have NEVER applied for any loan through this company. I finally contacted them but could only text with them which they refused to give me any legitimate contact information for the company ( ie ) a phone number to call, a legitimate physical address, but insisted I give them my personal information via text without my verifying the company as legitimate - which I unequivocally refused to disclose information via text message with an unknown person without actual information that could be verified about this company. I was told that they only take legitimate applications, however, a neighbor actually got a ding on her credit report from none other than Transform Credit for a XXXX loan and she has never applied for a loan either. As far as I am concerned, this is Identity Theft and I want this company to identify itself, its phone number and physical address so that I may proceed to stop the identity theft and identify this company. 

I want to know who the party was that applied in my name and if they do applications online, then they have an IP Address and other information to provide to me. 

Just telling me they cancelled the application is not sufficient, as they processed an application and used my info without my consent."
5651,Debt collection,"I hope this letter finds you well. I am writing to formally dispute and request the correction of inaccurate late payment reporting on my credit report. After a thorough review of my credit history, I have identified discrepancies that require your urgent attention. 
The late payments in question pertain to the following accounts : XXXX XXXX XXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history XXXX XXXX XXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history XXXX XXXX XXXX XXXX XXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history XXXX XXXX XXXX XXXX XXXXXXXX - Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history I am confident that there is an error in the reporting of these late payments, as I have diligently maintained timely payments on these accounts.

I am aware of my rights under the Fair Credit Reporting Act, and I trust that you will handle this matter with the urgency and diligence it requires. The inaccurate reporting of late payments has a significant impact on my credit score and financial standing, and I am eager to see a prompt resolution to this dispute."
5652,Money transfer or service,"So basically XXXX XX/XX/XXXX at around XXXX am, I attempt to withdraw XXXX dollars from cashapp at an ATM inside of a drugstore. And oddly enough the ATM says i have insufficient funds, so i try and open up cash app on my phone, but its randomly deleted. So i redownload the app and my balance is at {$00.00}, i check my transactions and it says at XXXX XXXX a payment of {$150.00} dollars was made to a account named XXXX XXXX XXXX I contacted them several times trying to resolve the issue and was told a dispute has been issued, But then was told the very next day ( today ) that this dispute has been denied. I've contacted cashapp support several times requesting an explanation but always am told I will receive an email containing documentation but never receive anything. I am pretty much being told everything at this point that doesn't reguard why my dispute has been denied. Cashapp has failed me miserably .please help"
5653,Bank account or service,"I dont know what this exactly is. I tried to open an account and got report from XXXX and Bank of America Missouri came up with an account that was reported for suspected fraud on XX/XX/XXXX. It further states that all amounts have been paid in full and closed on XX/XX/XXXX. I have not been in Missouri for almost 10 years. My Ex Wife lives there and dont know if she tried to open something. 

Bank of America Missouri XXXX. XXXX XXXX XXXX XXXX, MO XXXX RTN : XXXX Acct : ending XXXX Amount {$3400.00} Closure Status : Paid in Full I have never had any accounts with Bank of America during this time nor was I living in Missouri and am currently dealing with someone stealing my identity in XX/XX/XXXX. I have other accounts that were opened and was incarcerated in XX/XX/XXXX until XX/XX/XXXX. 
How can I have this removed so I can open a checking account? 
There is not any number to call or anything regarding this. Please Advise Thanks"
5654,Credit reporting,"In accordance with the Fair Credit Reporting Act. The list of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 U.S.C 1681. 
Account Name : National Credit Systems Account number XXXX Has violated my rights. 
15 U.S.C 1681 Section 602 A, states I have the right to privacy.

15 U.S.C 1681 Section 604 A section 2, states a consumer reporting agency can not furnish an account without my written instructions.

15 U.S.C 161c. ( a ) ( 5 ) Section states : No consumer reporting agency may any consumer report containing any of the following items of information : Any other adverse item of information, other than records of convictions and crimes which antedates the report by 7 years 15 U.S.C. 1681s12 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate."
5655,Debt collection,"I see that the company UCB put a derogatory mark on my credit report about an old medical bill, and didnt even attempt to communicate with me about this. I wish I could have a phone number with them, so we settle that debt, but they just went to report that to the credit bureau."
5656,Credit card,"On or about the XXXX of XXXX, I submitted an application for a Lowes credit card. They wanted to verify myself via a text message. Told them I do not have access to a cell phone, I only have a landline. I requested they sent the verification code to my email address. They stated they could not do that, so that stopped the process. I went to the local LOWES store couple days later to apply thru the store .Which I did. Today I received a denial letter from Synchrony Bank, stating reason for denial was "" Prior application submitted too recently '' I presume they are reference the one I could not verify via a text message. My credit is stellar, and information on my credit cards show no missed payments, no late payments, nothing on my credit report that is negative in any manner. As my date of birth is XX/XX/year>, age XXXX XXXX XXXX, THIS IS, IN MY OPINION THE REASON THEY TURNED ME DOWN. I have always paid my bills, my records state as much. If they are using a credit report to approve or disapprove a credit card, my application should be approved."
5657,Money transfer or service,"I use Coinbase to invest in Litecoin. When I moved my Litecoin to my USD wallet it wont let me withdraw it. Every time I try to withdraw it brings up the option to select a bank but my bank isnt on the list. When I try to opt out and use the card option it wont let me click my card linked to my account therefore I cant take my money out of Coinbase. I put in {$50.00} on XXXX XXXX, 2017 @ XXXX XXXX."
5658,Money transfer or service,"I had a different account at coinbase that had money in it. My phone got torn up so I was unable to retrieve my account without a two-factor authentication code which could only be used on my phone which i did not have. i had a different phone that was not linked to this account. So i called the company and they said there was nothing they could do at this point, they would have to have their specialists look at it. which they did not! I even gave them the new phone number so the money could be transferred to a new account with my new e-mail. Ive have called numerous times since this happened and they give me the the run around. that they need a specialist to look at it and there is nothing they can do at this time. How long does it take to transfer money into a different account. Ive went to the hospital to deal with my XXXX and XXXX this has caused me. I just want my money back, even though its ony {$110.00}. They have caused me to lose money when cyptocurrencies started to go down."
5659,Bank account or service,"XXXX I just received a check from Citi Bank with the amount of {$0.00} by XXXX on Friday, XX/XX/year>, this is truly Unbelievable! Citi still owes me the rest of interest from XXXX thru XXXX which should be approximately {$20.00}. My check, containing all of Savings and checking funds, was supposed to be delivered by XXXX on XXXX, however, the check didn't arrive until XXXX. The XXXX XXXX XXXX ( lady ) from Citibank in Texas confirmed that my account is being closed on XXXX ( which it was ) and that I would receive the check no later than XXXX. However that check didnt arrive until XXXX with a check date of XXXX. Please for verification, pull the recorded call on XXXX from Citi XXXX XXXX in Texas, this is what I was told. As a result, I lost 15 days worth of interest on my money they held up in error for XXXX ( XXXX ) months. They cost me interest as a result of their actions."
5660,Money transfer or service,"Randomly around XX/XX/XXXX or XXXX, my Klarna Debit card would not allow me to withdraw funds transfer funds or even use the card on my phone anywhere I would try to use it at. it sent me a page that said I needed to verify my identity using my passport ID or drivers license and upload a selfie. I did this so many times I cant even count and it still said they can not verify my identity and it said it helps if I update my profile information so as XXXX that was, I had no idea what it meant so I called customer service. I tried with customer service for about a few days and did every possible thing. They asked me to do such as make sure my address on my ID card matches my XXXX XXXX credit report and matches my account. and I tried to send to a bank account. I tried to cancel the card, and I even was given permission that the people who had the authority to just approve my account anyway even if you could not verify my would do that but it never happened. They keep giving me different time. Frames of XXXX will be solved and I really need that money because it is affecting my library in my ability to pay for a place to live and eat and simply just live my life. The last time I spoke with him was today, XX/XX/XXXX and they said I have to wait XXXX hours for my credit report to update. I even file a dispute with XXXX XXXX and talk to them through chat, but still nothing has changed."
5661,Money transfer or service,"Dear PayPal Support Team, I hope this message finds you well. I am writing to express my deep concern regarding the permanent limitation that has been imposed on my PayPal account, associated with the email address XXXX. I firmly believe that this limitation has been placed in error. 

I want to stress that I have always been a responsible and compliant PayPal user. I have taken utmost care to ensure that all my transactions and activities align with PayPal 's policies and guidelines. To the best of my knowledge, I have not committed any violations that would warrant such a severe action against my account. 

Considering the above, I kindly request PayPal to conduct a thorough review of my account 's limitation. I believe that a re-investigation of my case will shed light on the misunderstanding or misinterpretation that may have led to this situation. If indeed an error has occurred, I respectfully request the reinstatement of my PayPal account privileges. 

I understand the importance of maintaining a secure and trustworthy platform, and I am fully committed to cooperating with any verification processes that PayPal deems necessary. I value the convenience and security that PayPal provides, and I am eager to continue using your services once this issue is resolved. 

In conclusion, I sincerely urge PayPal to re-evaluate my case and consider lifting the permanent limitation on my account. I am confident that a closer examination will reveal my commitment to complying with all policies and guidelines. I appreciate your time and attention to this matter. 

Thank you for your prompt consideration. 

Sincerely, XXXX XXXX"
5662,Credit card,"It was a charged at the XXXX XXXX XXXX XXXX in XXXX I used my card to tab and entered the gate it was debited wrongly by the merchant and it debited over {$21.00} however after spoken with the merchant staff member at the XXXX XXXX XXXX  said it should have charge only {$2.00} not overly {$21.00} staff advised me to disputed and take it up with my bank, I reached out to my bank it was a representatives who has very little XXXX  speaking and doesnt understand the XXXX concept or any type of understanding who made a dispute for me and yet they refuse to give me back my money and I dont know why this being higher of people outside of the XXXX XXXX . They dont even speak XXXX they dont even know what Im talking about and yet they deny my claim."
5663,Credit card,"I signed up for the XXXXXXXX XXXX rewards credit card. I was solicited to enroll in the XXXX credit card affliated protection program. I explicitly declined the Account XXXX program multiple timesonce with the store clerk and twice again with the online representative. Despite this, the product continued to be promoted after my refusal and was ultimately added to my account without my consent. This reflects a pattern of repeated solicitation and enrollment despite clear refusal. This is predatory and illegal. I want written assurance that the credit protection sold to me without my authorization has been 100 % cancelled. XXXX XXXX XXXX XXXX"
5664,Credit reporting,"Greetings, My name is XXXX XXXX, I am currently writing a complaint regarding the credit reporting agencies reporting inaccurately. XXXX XXXX Transunion and all other consumer reporting agencies. Please see attachments. 

Please remove all addresses that are not my main residence. XXXX XXXX XXXX XXXXXXXX XXXX XXXX Also, remove all misspellings of my name. It is XXXX XXXX XXXX, not All these names listed on the report. Attached is my Drivers license as well. Id greatly appreciate these efforts to be executed within ten days, as its been over a month since Ive sent the letters via certified mail. 

Also please honor all on time payments, As Any credit reporting regardless of on time payments is still a violation of privacy. Privacy Act of 1974 prohibits. Monetary relief is requested upon this claim for all CCTs reported. including the reporting of XXXX XXXX bankruptcy XX/XX/XXXX and XXXX XXXX bankruptcy XX/XX/XXXX, continues to report. Ive Never given any written or authorization to report. This is heavily in my way of utilizing the full faith and credit the United States backs me with. 

Refer to : 15 U.S. Code 1681a - Definitions ; rules of construction 2. EXCLUSIONS.Except as provided in paragraph ( 3 ), the term "" consumer report '' does not include ( A ) subject to section 1681s-3 of this title, any ( i ) report containing information solely as to transactions or experiences between the consumer and the person making the report ;"
5665,Debt collection,They held or payment for two weeks and did not cash it until the day after the judgement so they we would have to pay them more then the original amount even though we sent the check certified mail so we know they received it two weeks before the court date
5666,Bank account or service,"I use Robinhood as my main source for direct deposit payments and they recently closed my account, I can not withdraw or use my funds I still have remaining, they will not respond and will not give me a reason as why my account is closed and restricted from withdrawing, I have no way to contact as they closed my account, I have sent plenty of emails and they have yet to respond to withdraw my remaining funds in there."
5667,Mortgage,"XXXX XXXX, XXXX I would like to file a complaint against US.bank, who sold the property to a third property, but when the home was foreclosed, I did n't find out that USbank had any interest until I received an unlawful detainer and USbank was at the top of the list. When the home was foreclosed, it did n't sell at auction, and reverted back to the bank, but nobody would say which bank. When I received the unlawful detainer, I immediately went to a local branch located @ XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX, I spoke with the branch manger ( XXXX XXXX ) on several occasions from XXXX XXXX, until as recent as XXXX XXXX and while I was there he would call the back office, and USbank would never acknowledge ownership, nor could they identify me by account number, address, or social security number, yet the third party speculator claims they purchased the property from them. I went to XXXX to help me through the process and on paper it was made look like US.Bank was the highest bidder, but that 's not the case, it reverted back to the bank, and I recently have documentation from XX/XX/XXXX ( Enclosed ) where USbank is affixed at the top of the list. I would like to discover why they could never identify me, and banks are allowed to play this game of keep away from distressed homeowners trying to reach out to save their properties. I am contending that USbank sold a property that they had no right to sell, they know that and if I just give up, they win. I want this investigated ; I should at least be given the right to a jury trial."
5668,Money transfer or service,On XX/XX/XXXX an acquaintance said he would send me XXXX dollars from his bank to mine and to send the money to him through his XXXX. I received the money and sent said money to his account. Today on XX/XX/XXXX I received a XXXX dispute for {$450.00} leaving my account at $ XXXX. After calling chase they said they could not do anything due to me sending away a fraudulent amount that I had no idea was fraudulent they said they couldnt do anything and that I would owe XXXX
5669,Credit card,"I have been a Wells Fargo customer for 8 years. Back in 2017 I would be paying the minimum or more than minimum each month. I lost my job and then hired by XXXX. In XX/XX/2017 I failed to make a late payment due to personal financial hardship, due to having a XXXX. Then finally paid the amount on XX/XX/2017 ; a total of {$490.00}. This has been the only late payment on my history, ever, that decreased it to 97 % percent"
5670,Consumer loan,"Nelnet has removed my access to view any relevant information about my student loans including critical disclosures and any balance/debt attached to my name. 

I have submitted numerous requests and have been prompted to reset my password, which I have, and I am still unable to access my account information - this access was removed after submitted previous complaints about the same company. 

I have even contacted support to no avail. I need to be able to access my student loan information in order to understand and monitor their balances, especially after submitting complaint previously about the same company. Any assistance in restoring my ability to access my account is appreciated."
5671,Mortgage,"We went into contract with XXXX to build out XXXX and they had pushed us to use Mosaic for our construction loan. XXXX co-erced me into give them money up front for milestone they didn't complete. Said our project would be delayed if we didn't pay them. Mosaic was aware of this as there has been several complaints to the California XXXX board as well to the DA. Both XXXX and XXXX are being investigated. XXXX is now out of business and Mosaic won't do anything to claw back to money knowing that XXXX obtained payments through false means. 

We are asking Mosaic to close our loan and clear our obligation due to them knowingly work with XXXX has have trouble with numerous projects. Taking money for not completing work."
